board_id,address,location_note,lat,lng
1-1,下鶴間字甲一号５１３４,高木公園,35.5157428,139.4624807
1-2,下鶴間５０４−１,コミュニティーセンター公所会館南側,35.5106145,139.4619984
1-3,つきみ野４ー５,つきみ駅東側の線路沿フェンス（ビレジB-1前）,35.5070716,139.4618841
1-4,下鶴間６８５,北大和小学校西門横,35.5057262,139.4644418
1-5,下鶴間６８５,北大和小学校南側正門横,35.5051501,139.4652456
1-6,下鶴間２１５０−１,名和公園,35.5006328,139.4687446
1-7,つきみ野４−１−４,つきみ野ぶどう園西側,35.5034269,139.4629116
1-8,つきみ野４−４,つきみ野８号公園南側,35.505329,139.4624807
2-1,鶴間２−７−１７,鶴間二丁目ちびっこ広場,35.4895207,139.4551022
2-2,鶴間２−１５,ふるみち公園北側,35.4908563,139.4554933
2-3,西鶴間１−１,鶴間駅東口フェンス,35.4874805,139.4539154
2-4,林間１−５−１８,林間小学校北側正門横,35.4938263,139.4525643
2-5,林間１−５−１８,林間小学校東側,35.4937514,139.4533639
2-6,林間１−５−１８,林間小学校南側,35.4927113,139.45284
2-7,林間１−３,南林間駅東口　ロータリー,35.4930036,139.4511959
2-8,林間１−２,南林間駅の東南の線路沿い（自治会掲示板横）,35.490123,139.4524284
3-1,下鶴間１−１−１,大和市役所東側,35.4849212,139.4623345
3-2,下鶴間１−１−１,大和市役所西側植栽,35.4837987,139.460579
3-3,下鶴間１−３−１,イトーヨーカドー 大和鶴間店　西側通路,35.4874816,139.4596461
3-4,深見４８４−１,一ノ関公園東側,35.4857105,139.4689161
3-5,深見西８−７−１,大和小学校東側正門横,35.4838076,139.4658136
3-6,深見西８−７−１,大和小学校西側,35.4837115,139.4639542
3-7,下鶴間１−１−１,大和市役所北側植栽,35.4847241,139.4611947
3-8,深見東３−１−１３,日本ペイント販売株式会社　西側正門横,35.4805996,139.467539
4-1,中央１−５−２６,神奈川県厚木保健福祉事務所大和ｾﾝﾀｰ南側,35.4629844,139.4652617
4-2,中央１−５−２６,神奈川県厚木保健福祉事務所大和ｾﾝﾀｰ正門横,35.4630804,139.4649134
4-3,中央５−３−６,中央１号公園南側,35.4639402,139.4629736
4-4,中央１−５,やまと公園　東北側フェンス（小田急線の向い側）,35.4647438,139.465278
4-5,中央４−５,中央６号公園南側,35.4660483,139.461259
4-6,下草柳１１８６,下草柳公園東側,35.4657995,139.4578617
4-7,草柳１−２０−２,草柳１号公園東側,35.4631163,139.4577913
4-8,草柳１−１１,草柳２号公園北東側,35.4608152,139.459062
5-1,桜森３−１６−３１,文ヶ岡小学校東側正門横,35.4712377,139.4426601
5-2,桜森３−１６−３１,文ケ岡小学校南側,35.4707184,139.4415562
5-3,桜森３−５−２１,コミュニティセンター桜森会館北側,35.4695923,139.4441497
5-4,桜森３−９,桜森わいわい公園,35.468846,139.4421885
5-5,桜森３−１,相模大塚駅北口ロータリー,35.4681869,139.4438228
5-6,上草柳７１−６,表(ｵﾓﾃ)駐車場フェンス,35.4688198,139.4485275
5-7,桜森１−２,桜森スポーツ広場北側,35.4654722,139.4477773
5-8,桜森３−１−１,相模大塚駅南側,35.4671874,139.444423
6-1,深見台４−７,深見台保育園南側対面植栽,35.4700026,139.4700788
6-2,深見台４−６,深見台第５児童遊園西側,35.469265,139.4706307
6-3,深見台４−１,深見台１号公園西側,35.4686539,139.4690393
6-4,深見台４−４,深見台緑地南側,35.4682786,139.4705129
6-5,深見台３−４−３５,株式会社ガスター南側正門横植込,35.4665546,139.4718578
6-6,深見台２−４,菊園児童遊園,35.4651754,139.4716328
6-7,深見台２−９−１,深見小学校南側正門横,35.4642545,139.4724794
6-8,深見３２０７,かしま２号公園南側,35.4642239,139.476048
7-1,鶴間１−３１−７,大和市保健福祉センター駐車場東側,35.4873385,139.4586709
7-2,鶴間１−２５,鶴間１号公園南側,35.4848725,139.4584458
7-3,鶴間１−１３−２,南関東防衛局座間防衛事務所北側,35.4843706,139.4569562
7-4,鶴間１−１９,大和市文化財保管施設北側,35.483777,139.4579743
7-5,深見西７−５−１,大和中学校西側,35.481696,139.4569485
7-6,深見西７−５−１,大和中学校北側正門横,35.4827661,139.457886
7-7,深見西７−５−１,大和中学校東側,35.4827885,139.4607077
8-1,上和田３５−２,エネオスセルフ（植栽）,35.455281,139.4708236
8-2,上和田９５８,金毘羅神社,35.4475515,139.4701967
8-3,上和田４５１,新道１号公園東側,35.4529111,139.4773287
8-4,上和田８６０−１,コミュニティセンター桜丘会館,35.4494718,139.4737654
8-5,上和田８３２,桜丘小学校南側正門横,35.4492667,139.4721847
8-6,福田５５２２−１,桜ケ丘駅東口ロータリー,35.4469111,139.469235
